,City,Date,Humidity,Latitude,Longitude,Temperature,Wind,Cloud Cover
483,Puerto Narino,1571617938,100,-3.77,-70.38,77.0,2.24,20
157,Saint George,1571617627,100,39.45,22.34,57.2,1.36,0
141,Platanos,1571617609,100,35.47,23.6,71.01,13.94,20
340,Moose Factory,1571617802,100,51.26,-80.61,46.4,5.82,90
33,Mahebourg,1571617506,100,-20.41,57.7,71.01,5.82,75
347,Dalvik,1571617811,100,57.79,14.13,45.0,3.36,33
126,San Isidro,1571617595,100,10.02,-84.06,68.0,2.24,90
120,Muros,1571617589,100,42.77,-9.06,52.0,1.12,20
105,Wanning,1571617574,100,48.64,13.53,54.0,1.12,75
385,Berezniki,1571617846,100,59.41,56.8,32.0,1.99,100
91,Bambous Virieux,1571617560,100,-20.34,57.76,71.01,5.82,75
395,Pulaski,1571617854,100,37.05,-80.78,61.0,4.7,40
471,Erzin,1571617927,100,36.95,36.2,66.99,2.24,40
43,Norman Wells,1571617515,100,65.28,-126.83,28.4,3.36,90
410,Ambon,1571617870,100,47.55,-2.56,51.01,4.7,40
413,Karlskrona,1571617872,100,56.16,15.59,50.0,2.75,100
435,Kaiwaka,1571617893,100,-36.16,174.44,64.99,8.99,27
438,Bereda,1571617895,100,43.27,-7.54,48.99,2.24,26
69,Port Hardy,1571617539,100,50.7,-127.42,48.2,11.41,90
454,Norsup,1571617911,100,-16.07,167.38,86.0,8.05,24
61,Clyde River,1571617532,100,70.47,-68.59,28.4,6.93,90
30,Vaini,1571617503,100,15.34,74.49,69.8,2.28,75
444,Iroquois Falls,1571617901,100,48.76,-80.69,41.0,2.19,75
277,Presidencia Roque Saenz Pena,1571617743,100,-26.79,-60.44,59.0,12.75,90
283,Veraval,1571617748,100,49.65,0.71,50.0,11.41,100
228,Bismarck,1571617696,100,46.81,-100.78,44.01,16.11,1
244,Quatre Cocos,1571617711,100,-20.21,57.76,71.01,5.82,75
206,Port-Gentil,1571617675,100,-0.72,8.78,77.0,3.36,75
196,Hauterive,1571617664,100,49.18,-68.27,37.4,3.36,1
